,ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,label
14889,1536227046.588124,CHXIBW1FkcY3dLubSl,192.168.100.111,17576.0,9.91.154.223,8081.0,tcp,-,2e-06,0,0,S0,-,-,0.0,S,2.0,80.0,0.0,0.0,PartOfAHorizontalPortScan
21209,1536227056.675057,CKbdEm5JWz6zfi1E7,192.168.100.111,17576.0,104.104.223.203,8081.0,tcp,-,2e-06,0,0,S0,-,-,0.0,S,2.0,80.0,0.0,0.0,PartOfAHorizontalPortScan
27607,1536227066.7665071,CmOd6X1xQJGyEyzjv7,192.168.100.111,17576.0,66.81.21.82,8081.0,tcp,-,2e-06,0,0,S0,-,-,0.0,S,2.0,80.0,0.0,0.0,PartOfAHorizontalPortScan
104415,1536227188.001918,CwMApOodRvhCcJy6d,192.168.100.111,17576.0,222.243.168.187,8081.0,tcp,-,2e-06,0,0,S0,-,-,0.0,S,2.0,80.0,0.0,0.0,PartOfAHorizontalPortScan
118519,1536227210.245126,C4OldX2UrejGBHQwzi,192.168.100.111,17576.0,90.98.34.160,8081.0,tcp,-,5e-06,0,0,S0,-,-,0.0,S,2.0,80.0,0.0,0.0,PartOfAHorizontalPortScan
122170,1536227215.9201212,CXkTqY2zW7i6VA9k3a,192.168.100.111,18088.0,212.52.136.25,80.0,tcp,-,6e-06,0,0,S0,-,-,0.0,S,2.0,80.0,0.0,0.0,PartOfAHorizontalPortScan
123266,1536227217.426522,CR6tvINSPHnUN2OQl,192.168.100.111,17832.0,41.11.169.51,37215.0,tcp,-,2e-06,0,0,S0,-,-,0.0,S,2.0,80.0,0.0,0.0,Okiru
125920,1536227221.4779491,CRHOkW0ZOcFvsHM9e,192.168.100.111,17832.0,41.163.183.66,37215.0,tcp,-,0.00023500000000000002,0,0,S0,-,-,0.0,S,2.0,80.0,0.0,0.0,Okiru
141778,1536227246.66975,Chqtg32oqIazzeJtP3,192.168.100.111,18344.0,197.185.45.237,52869.0,tcp,-,2e-06,0,0,S0,-,-,0.0,S,2.0,80.0,0.0,0.0,DDoS
171153,1536227293.179083,CcKTpOMI02bD22774,192.168.100.111,18344.0,41.126.28.4,52869.0,tcp,-,5e-06,0,0,S0,-,-,0.0,S,2.0,80.0,0.0,0.0,DDoS
180531,1536227308.1610029,CZFAxP1JMwq8paMt19,192.168.100.111,18088.0,197.130.244.147,80.0,tcp,-,2e-06,0,0,S0,-,-,0.0,S,2.0,80.0,0.0,0.0,PartOfAHorizontalPortScan
181045,1536227309.164189,CUd95w18B5py1m7qj5,192.168.100.111,18088.0,50.134.94.238,80.0,tcp,-,2e-06,0,0,S0,-,-,0.0,S,2.0,80.0,0.0,0.0,PartOfAHorizontalPortScan
208412,1536227351.959671,CVcjILcCA7PS0L0Pj,192.168.100.111,17832.0,156.124.25.173,37215.0,tcp,-,2e-06,0,0,S0,-,-,0.0,S,2.0,80.0,0.0,0.0,Okiru
